评级,代码,转债名称,现价,溢价率,转股价值,转股价
A+,128143,锋龙转债,89,17.43%,75.79,17.97
AA,128142,新乳转债,119.486,26.24%,94.65,18.69
AA,128141,旺能转债,102.151,7.57%,94.96,16.47
AA,128140,润建转债,90.701,11.44%,81.39,26.55
AA-,128139,祥鑫转债,91.9,15.74%,79.4,37.28
AA-,128138,侨银转债,100.82,23.86%,81.4,25.43
AA-,128137,洁美转债,113.56,21.99%,93.09,27.77
AA+,128136,立讯转债,118.8,40.20%,84.74,58.44
AA,128135,洽洽转债,131.85,17.09%,112.61,60.83
AA,128134,鸿路转债,124.98,11.43%,112.16,43.74
AA,128133,奇正转债,103.012,34.43%,76.63,30.12
AA,128132,交建转债,89,77.52%,50.13,18.57
AA,128131,崇达转2,94.7,58.97%,59.57,19.54
AA,128130,景兴转债,105.2,2.78%,102.35,3.4
AAA,128129,青农转债,101,25.76%,80.31,5.74
AA,128128,齐翔转2,92.6,3.14%,89.78,8.22
AA-,128127,文科转债,85.36,12.35%,75.98,5.37
AA,128126,赣锋转2,186.998,0.66%,185.76,60.27
AA-,128125,华阳转债,97.3,37.88%,70.57,25.79
AA,128124,科华转债,95,34.35%,70.71,21.51
AA-,128123,国光转债,99.5,39.24%,71.46,13.7
AA,128122,兴森转债,96.6,72.73%,55.92,14.18
AA-,128121,宏川转债,113.89,22.09%,93.28,20.25
A,128120,联诚转债,89.167,28.96%,69.14,24.37
AA,128119,龙大转债,124.91,-0.38%,125.39,9.57
AA-,128118,瀛通转债,85.95,44.99%,59.28,27.53
AA-,128117,道恩转债,92.5,21.18%,76.33,29.03
AA,128116,瑞达转债,91.334,32.21%,69.08,29.82
AA,128115,巨星转债 !,292.998,-0.06%,293.16,12.28
AA+,128114,正邦转债,109.189,7.19%,101.86,15.55
AA,128113,比音转债,113.989,4.33%,109.26,14.9
AA+,128112,歌尔转2 !,136,-0.82%,137.13,23.27
AA-,128111,中矿转债 !,176,0.28%,175.5,15.47
AA,128110,永兴转债 !,248,-1.26%,251.17,17.06
AA,128109,楚江转债,102.454,24.40%,82.36,8.73
AA,128108,蓝帆转债 !,132,-0.41%,132.55,17.79
AA+,128107,交科转债,101.5,7.31%,94.59,5.36
AA,128106,华统转债,114.2,23.40%,92.55,9.39
AA,128105,长集转债,89.7,12.09%,80.02,8.11
A+,128103,同德转债 !,183,-4.15%,190.93,5.18
AA,128101,联创转债,100.6,42.71%,70.49,13.86
AA,128100,搜特转债,75.3,35.63%,55.52,2.90*
AA,128097,奥佳转债 !,131.3,5.93%,123.95,10.69
AA+,128096,奥瑞转债 !,118.339,11.70%,105.95,4.54
AA,128095,恩捷转债 !,203.988,0.75%,202.47,65.09
A+,128094,星帅转债,107.299,-0.34%,107.67,13.95
AA-,128093,百川转债,97.5,4.44%,93.36,5.87
A+,128091,新天转债,108.01,16.77%,92.5,16.39
AA,128090,汽模转2,99.89,8.39%,92.16,4.21
AA,128087,孚日转债,80.8,29.20%,62.54,6.3
